zip_code,county_name,state,avg_home_price,avg_annual_appreciation
60473,Cook County,IL,227227.31208659094,0.02793
60827,Cook County,IL,129922.38318688211,0.02129
60153,Cook County,IL,252997.31203441508,0.05003
60406,Cook County,IL,203836.3217296884,0.03794
60443,Cook County,IL,273357.17291004426,0.025670000000000002
60642,Cook County,IL,752242.7833085513,0.03237
60656,Cook County,IL,436200.0825970178,0.03036
60803,Cook County,IL,280167.85359183815,0.03258
60131,Cook County,IL,315275.2541425301,0.03242
60008,Cook County,IL,387032.4311580484,0.0273
60419,Cook County,IL,155835.27408175828,0.027919999999999997
60194,Cook County,IL,395080.0721965609,0.03384
60093,Cook County,IL,1689533.0062017993,0.026520000000000002
60430,Cook County,IL,267941.9164256798,0.02944
60164,Cook County,IL,311372.14766515023,0.03382
60513,Cook County,IL,355799.9929244264,0.03132
60466,Cook County,IL,157461.25879511712,0.03061
60805,Cook County,IL,287659.5965639046,0.032549999999999996
60104,Cook County,IL,250519.61585979676,0.041749999999999995
60455,Cook County,IL,317452.5281461792,0.03185
60304,Cook County,IL,530431.2734429744,0.03634
60465,Cook County,IL,375108.0617536283,0.02791
60546,Cook County,IL,437680.119475009,0.02703
60070,Cook County,IL,542190.1921357295,0.02624
60154,Cook County,IL,362288.0899854556,0.027290000000000002
60429,Cook County,IL,185005.99640938148,0.04349
60445,Cook County,IL,257345.0865683786,0.02946
60457,Cook County,IL,356776.34325211117,0.02844
60173,Cook County,IL,533164.1360966457,0.02573
60463,Cook County,IL,425680.74409643613,0.02541
60478,Cook County,IL,214345.10284460033,0.028229999999999998
60633,Cook County,IL,191336.84424986943,0.041589999999999995
60130,Cook County,IL,379481.5587942282,0.04559
60026,Cook County,IL,864788.6943130242,0.02274
60526,Cook County,IL,500658.925535612,0.03254
60458,Cook County,IL,311814.7346458868,0.031869999999999996
60712,Cook County,IL,576986.3926950764,0.02085
60415,Cook County,IL,292389.11620819784,0.030379999999999997
60558,Cook County,IL,907366.8950166581,0.02796
60428,Cook County,IL,152870.62064710984,0.0449
60192,Cook County,IL,505291.9309170723,0.03077
60501,Cook County,IL,274045.69991590694,0.04076
60422,Cook County,IL,347002.12919597555,0.02513
60176,Cook County,IL,345011.59160668455,0.030510000000000002
60305,Cook County,IL,929957.796900116,0.03004
60471,Cook County,IL,224920.58041871458,0.03148
60534,Cook County,IL,282316.31053954427,0.03644
60482,Cook County,IL,296014.9360280829,0.032549999999999996
60475,Cook County,IL,172176.03486956787,0.010089999999999998
60464,Cook County,IL,580557.6797359076,0.02779
60162,Cook County,IL,294499.22776070255,0.03728
60171,Cook County,IL,332305.35756889055,0.02943
60022,Cook County,IL,1643891.1718985736,0.02786
60155,Cook County,IL,274081.53380846395,0.03634
60425,Cook County,IL,226782.12485897946,0.04063
60195,Cook County,IL,512625.65489958227,0.03641
60461,Cook County,IL,338490.78631125746,0.024239999999999998
60480,Cook County,IL,418440.7878325788,0.026619999999999998
60472,Cook County,IL,115187.90727386263,0.06585
60469,Cook County,IL,193684.54270568665,0.02691
60163,Cook County,IL,297775.4341096428,0.03202
60203,Cook County,IL,637497.3230016071,0.027999999999999997
60165,Cook County,IL,263025.0624303563,0.04073
60456,Cook County,IL,213985.7410973302,0.0391
60476,Cook County,IL,180546.02841582953,0.02665
60043,Cook County,IL,2098525.4766322817,0.026779999999999998
60029,Cook County,IL,1286814.4366020148,0.03549
